Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-08-17,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-18,-0.00023469381575869086,0,0,0,-1.0,1.0,0,0,0,0
2010-08-19,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-20,0.0038826028608998087,0,0,0,-1.0,1.0,0,0,0,0
2010-08-23,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-24,0.006323303089063814,0,0,0,-1.0,1.0,0,0,0,0
2010-08-25,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-26,0.0009384601838027251,0,0,0,-1.0,1.0,0,0,0,0
2010-08-27,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-30,0.011111736680610163,0,0,0,-1.0,1.0,0,0,0,0
2010-08-31,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-09-01,0.005680648552060408,0,0,0,-1.0,1.0,0,0,0,0
2010-09-02,0.005716748593925458,0,0,0,-1.0,1.0,0,0,0,0
2010-09-03,0.0016282747604406955,0,0,0,-1.0,1.0,0,0,0,0
2010-09-06,-0.006566399774472598,0,0,0,-1.0,1.0,0,0,0,0
2010-09-07,-0.0021735961451563313,0,0,0,-1.0,1.0,0,0,0,0
2010-09-08,0.005093252229354306,0,0,0,-1.0,1.0,0,0,0,0
2010-09-09,-0.0020244519243178827,0,0,0,-1.0,1.0,0,0,0,0
2010-09-10,0.0016708709743464834,0,0,0,-1.0,1.0,0,0,0,0
2010-09-13,0.0053876705971839245,0,0,0,-1.0,1.0,0,0,0,0
2010-09-14,0.0012430451071415716,0,0,0,-1.0,1.0,0,0,0,0
2010-09-15,0.005268460270349662,0,0,0,-1.0,1.0,0,0,0,0
2010-09-16,-0.00278361709566044,0,0,0,-1.0,1.0,0,0,0,0
2010-09-17,-0.002029168600419462,0,0,0,-1.0,1.0,0,0,0,0
2010-09-20,0.007438241066000217,0,0,0,-1.0,1.0,0,0,0,0
2010-09-21,0.006957621663877478,0,0,0,-1.0,1.0,0,0,0,0
2010-09-22,0.003883864359567557,0,0,0,-1.0,1.0,0,0,0,0
2010-09-23,0.003618504649558263,0,0,0,-1.0,1.0,0,0,0,0
2010-09-24,0.00015813374114848067,0,0,0,-1.0,1.0,0,0,0,0
2010-09-27,0.0021508911218528493,0,0,0,-1.0,1.0,0,0,0,0
2010-09-28,0.004564511614540079,0,0,0,-1.0,1.0,0,0,0,0
2010-09-29,0.007420896967527679,0,0,0,-1.0,1.0,0,0,0,0
2010-09-30,0.004039537868163023,0,0,0,-1.0,1.0,0,0,0,0
2010-10-01,-0.006009985141050667,0,0,0,-1.0,1.0,0,0,0,0
2010-10-04,-0.0029537658434495295,0,0,0,-1.0,1.0,0,0,0,0
2010-10-05,-0.0023393325305651747,0,0,0,-1.0,1.0,0,0,0,0
2010-10-06,-0.001785904040656261,0,0,0,-1.0,1.0,0,0,0,0
